WBY_NM,SMELTER_DIST,LAT,SRFAREA,GDD,DEPMAX,DEPMN,THERMDEPTH,PERIM,ELEV,AVGTEMP,MEI,SECCHI,LT_REL_ABUN,NP_REL_ABUN,SMB_REL_ABUN,WAL_REL_ABUN,NUM_SPC
Bluesucker L.,66,471011,144.5,1678.666667,21.4,7.3,7.4,13.7,305,2.66,3.8,8.800000191,0.191278,0,0,0,6
Antrim L.,67,465607,90.69999695,1682.6,17.4,6.7,6.8,8.4,404,3.25,4,3.5,0.012542,0.122346,0.330617,0,12
Pilgrim L.,67,471143,122.9000015,1677,25,6.6,7.2,13.4,358,2.63,4.3,8,0.6054,0,0,0,7
Rushbrook L.,70,464405,174,1694.2,19.8,7.3,7.7,12.9,434,3.62,4,5.300000191,0.03597,0,0,0,8
Elboga L.,75,470111,27.89999962,1676.533333,16.2,5.9,5.5,4.3,434,3.09,4.5,2,0.109256,0,0,0,10
Florence L.,77,471416,1006.5,1670.466667,38.1,7.5,10.7,69.7,366,2.5,4.5,15.60000038,0,0,0,0,5
Upper Klondyke L.,81,463638,94.30000305,1703,20.5,5.3,6.9,9.2,389,3.86,4.3,6.099999905,0.089929,0,0,0,11
Sinaminda L.,82,465327,1107.699951,1677.866667,35.4,7.6,10.8,69.2,404,3.39,3.5,4.699999809,0.043,0.049291,0,0.188911,10
Millen L.,83,462752,84.90000153,1704.4,30.5,14.4,6.7,5.1,348,4.11,1.5,6.300000191,0.161509,0,0,0,12
Jim Edwards L.,84,471806,86.59999847,1657.066667,22.6,8.7,6.8,6.9,351,2.45,3,7.300000191,0.07845,0,0,0,3
Bull L.,86,462559,52.59999847,1704.733333,35,11.5,6.2,10.1,363,4.18,1.5,6.099999905,0,0,0.372407,0.07194,8
Folson L.,91,462552,198.8999939,1710.933333,28.4,7.4,7.9,28.6,358,4.17,2.7,4.400000095,0.091585,0,0,0,13
White Pine L.,92,471655,66.90000153,1660.466667,19,5.6,6.5,3.9,412,2.48,6,10,0.278533,0,0,0,10
Whiskey L.,97,462623,916.5999756,1715.066667,55.2,22.5,10.5,32.5,336,4.17,6.7,13.69999981,0.262909,0,0.185704,0.01075,13
Sugar L.,100,472022,231.3000031,1646.333333,26.5,8,8.1,17.5,311,2.43,4.1,6.599999905,0.073408,0.007525,0.311778,0,12
Lake #42 (Algoma),103,465107,72.80000305,1672.066667,15,5.1,6.6,6.3,457,3.47,4.5,4,0.124254,0,0,0,8
Caribou L.,104,462742,252.1999969,1718.6,63.1,23.8,8.2,12.2,351,4.15,1.4,10.5,0.511408,0,0,0,8
